descricao,Categoria,contagem_galv,contagem_diam,contagem_equip,contagem_sequencia,contagem_20cm,contagem_tam
caneta esferografica azul produto servico centro custo solicitando aprovado utilizar padre grp administrar geral grs descrito complementar,3,0,0,0,0,0,0
caneta esferografica preta produto servico cod conta centro custo solicitando aprovado utilizar padre grp administrar geral grs descrito complementar,3,0,0,0,0,0,0
caneta esferografica preta produto servico utilizar padre geral status cadastro estoque,3,0,0,0,0,0,0
caneta esferografica verde produto servico caneta esferografica verde centro custo solicitando aprovado utilizar padre grp grs descrito complementar,3,0,0,0,0,0,0
caneta esferografica vermelha produto servico utilizar padre geral status cadastro estoque,3,0,0,0,0,0,0
caneta esferografica vermelha produto servico caneta esferografica vermelha centro custo solicitando aprovado utilizar padre grp administrar geral grs descrito complementar,3,0,0,0,0,0,0
caneta fixa corrente produto servico centro custo solicitando aprovado utilizar padre grp grs descrito complementar,3,0,0,0,0,0,0
caneta marca texto amarela produto servico caneta marca texto amarela utilizar padre geral status cadastro estoque,3,0,0,0,0,0,0
caneta marca texto azul produto servico caneta marca texto azul utilizar padre escritorio status cadastro aplicar direta,3,0,0,0,0,0,0
caneta marca texto cinza produto servico utilizar padre geral status cadastro aplicar direta,3,0,0,0,0,0,0
caneta marca texto laranja produto servico utilizar padre geral status cadastro aplicar direta,3,0,0,0,0,0,0
caneta marca texto rosa produto servico utilizar padre escritorio status cadastro aplicar direta,3,0,0,0,0,0,0
caneta marca texto verde produto servico utilizar padre geral status cadastro estoque,3,0,0,0,0,0,0
caneta mkt produto servico utilizar padre brindes mkt descrito complementar,3,0,0,0,0,0,0
caneta brinde produto servico utilizar padre geral descrito complementar aplicar direta,3,0,0,0,0,0,0
caneta ponta fina azul bic produto servico caneta bic ponta fina azul centro custo solicitando aprovado descrito complementar,3,0,0,0,0,0,0
caneta retro protetora preta produto servico caneta retro projeto preta ponta centro custo solicitando aprovado utilizar padre grp escritorio grs descrito complementar,3,0,0,0,0,0,0
caneta retro protetora vermelha produto servico caneta retro projeto vermelha ponta cod conta centro custo solicitando aprovado utilizar padre grp escritorio grs descrito complementar,3,0,0,0,0,0,0
caneta retro protetora azul produto servico caneta retro projetor azul centro custo solicitando aprovado utilizar padre grp grs descrito complementar,3,0,0,0,0,0,0
caneta retro protetora preta produto servico caneta retro projetor preta centro custo solicitando aprovado utilizar padre grp escritorio grs descrito complementar,3,0,0,0,0,0,0
caneta retro protetora verde produto servico caneta retro projetor verde centro custo solicitando aprovado utilizar padre grp grs descrito complementar,3,0,0,0,0,0,0
caneta retro protetora vermelha produto servico caneta retro projetor centro custo solicitando aprovado utilizar padre grp grs descrito complementar,3,0,0,0,0,0,0
caneta retroprojetor preta pilot produto servico caneta retroprojetor preta marca pilot utilizar padre geral status cadastro estoque,3,0,0,0,0,0,0
canetas brindes mkt und produto servico utilizar padre brindes mkt descrito complementar,3,0,0,0,0,0,0
caneta touch tablet produto servico utilizar padre geral status cadastro aplicar direta,3,0,0,0,0,0,0
kit caneta hidrocor produto servico utilizar padre geral status cadastro aplicar direta,3,0,0,0,0,0,0
caneta esferografica azul modelo hbl,3,0,0,0,0,0,0
caneta esferografica logotipo base,3,0,0,0,0,0,0
caneta esf yes pro gel,3,0,0,0,0,0,0
caneta base sap,3,0,0,0,0,0,0
caneta metalica laser lanterna,3,0,0,0,0,0,0
caneta pilot lume calor amarela,3,0,0,0,0,0,0
caneta pilot lume calor azul,3,0,0,0,0,0,0
caneta pilot lume calor laranja,3,0,0,0,0,0,0
caneta pilot lume calor rosa,3,0,0,0,0,0,0
caneta pilot lume calor verde,3,0,0,0,0,0,0
caneta ponta poros sofpoint azul,3,0,0,0,0,0,0
caneta ponta poros sofpoint preta,3,0,0,0,0,0,0
caneta ponta poros sofpoint vermelha,3,0,0,0,0,0,0
caneta ultra fine papermate,3,0,0,0,0,0,0
carga caneta azul caa cromo,3,0,0,0,0,0,0
caneta big super gripe azul pilot,3,0,0,0,0,0,0
caneta branca ponta fina,3,0,0,0,0,0,0
caneta cia base azul,3,0,0,0,0,0,0
caneta detector celulas,3,0,0,0,0,0,0
caneta esf fine azul bic,3,0,0,0,0,0,0
caneta esf cristal azul bic caneta esferografica cristal fina azul bic,3,0,0,0,0,0,0
caneta esf cristal preta bic caneta esferografica cristal preta bic,3,0,0,0,0,0,0
caneta esf azul gripe,3,0,0,0,0,0,0
caneta esf bps ponta fina azul pilot caneta esferografica bps ponta fina azul pilot ponta metal,3,0,0,0,0,0,0
caneta esferograf espero caneta esferografica aspiro,3,0,0,0,0,0,0
caneta esferografica azul,3,0,0,0,0,0,0
caneta esferografica preta,3,0,0,0,0,0,0
caneta esferografica vermelha,3,0,0,0,0,0,0
caneta esferografica prata ponta fina caneta ponta fina cor prata utilizado mataria fazer marca pontos malha principalmente malha escura,3,0,0,0,0,0,0
caneta hidrocor azul defice pen,3,0,0,0,0,0,0
caneta hidrocor preto defice pen,3,0,0,0,0,0,0
caneta hidrocor ver defice pen,3,0,0,0,0,0,0
caneta hidro sabido point preta caneta hidrografica sabido point preta clister,3,0,0,0,0,0,0
caneta hidro sabido point azul mar,3,0,0,0,0,0,0
caneta hidro sabido point laranja,3,0,0,0,0,0,0
caneta hidro sabido point rosa,3,0,0,0,0,0,0
caneta hidro sabido point verde,3,0,0,0,0,0,0
caneta metal personalizada caneta metal personalizada material expediente nacional,3,0,0,0,0,0,0
caneta manequim uniria ponta,3,0,0,0,0,0,0
caneta tecido azul,3,0,0,0,0,0,0
caneta promocional base,3,0,0,0,0,0,0
caneta promocional base kid,3,0,0,0,0,0,0
caneta tecido acrilex,3,0,0,0,0,0,0
caneta tecido acrilpen azul petroleo,3,0,0,0,0,0,0
caneta ret pontas azul,3,0,0,0,0,0,0
caneta ret pontas preto,3,0,0,0,0,0,0
caneta ret pontas verde,3,0,0,0,0,0,0
caneta ret pontas verme lho,3,0,0,0,0,0,0
caneta retroprojetor azul fazer marca fazer castelo,3,0,0,0,0,0,0
caneta retroprojetor ver fazer marca fazer castelo,3,0,0,0,0,0,0
caneta retroprojetor maxprint caneta retroprojetor maxprint,3,0,0,0,0,0,0
caneta retroprojetor preto fazer marca fazer castelo,3,0,0,0,0,0,0
correio caneta ponta metal bic,3,0,0,0,0,0,0
exp caneta caneta nacional,3,0,0,0,0,0,0
exp caneta destaca texto amarelo,3,0,0,0,0,0,0
exp caneta destaca texto azul,3,0,0,0,0,0,0
exp caneta destaca texto laranja,3,0,0,0,0,0,0
exp caneta destaca texto rosa,3,0,0,0,0,0,0
exp caneta destaca texto verde,3,0,0,0,0,0,0
exp caneta destaca texto violeta,3,0,0,0,0,0,0
exp caneta esferografica azul,3,0,0,0,0,0,0
exp caneta esferografica preta,3,0,0,0,0,0,0
exp caneta esferografica ver,3,0,0,0,0,0,0
exp caneta esferografica vermelha,3,0,0,0,0,0,0
exp caneta fantasma apagarem azul,3,0,0,0,0,0,0
exp caneta fantasma apagarem preta,3,0,0,0,0,0,0
exp caneta fantasma apagarem vermelha,3,0,0,0,0,0,0
exp caneta hidrogrfica core,3,0,0,0,0,0,0
exp caneta hidrogrfica core marca tres,3,0,0,0,0,0,0
exp caneta retro azul pilot,3,0,0,0,0,0,0
exp caneta retro preto pilot,3,0,0,0,0,0,0
exp caneta retro ver pilot,3,0,0,0,0,0,0
exp caneta tecido amarela,3,0,0,0,0,0,0
exp caneta tecido azul,3,0,0,0,0,0,0
exp caneta tecido branca,3,0,0,0,0,0,0
exp caneta tecido marrom,3,0,0,0,0,0,0
exp caneta tecido preta,3,0,0,0,0,0,0
exp caneta tecido rosa,3,0,0,0,0,0,0
exp caneta tecido verde,3,0,0,0,0,0,0
exp caneta tecido vermelha,3,0,0,0,0,0,0
exp caneta tecido vinho,3,0,0,0,0,0,0
exp correio caneta ponta metal shake squeeze bic,3,0,0,0,0,0,0
exp porta caneta armado redondo nacional,3,0,0,0,0,0,0
exp porta caneta clip lembrete fume,3,0,0,0,0,0,0
exp recarga caneta tinteiro cromo,3,0,0,0,0,0,0
caneta esferografica,3,0,0,0,0,0,0
caneta hidrografia preta,3,0,0,0,0,0,0
caneta pincel,3,0,0,0,0,0,0
caneta retro projetor,3,0,0,0,0,0,0
porta canetas,3,0,0,0,0,0,0
bombeiros caneta esferografica cor cor unica,3,0,0,0,0,0,0
caneta amora medo,3,0,0,0,0,0,0
caneta amora medo caneta modelo caneta espero material plastico acabamento front escrita cor gravacao cor,3,0,0,0,0,0,0
caneta amora medo cor cor unica caneta modelo caneta espero material plastico acabamento front escrita cor gravacao cor,3,0,0,0,0,0,0
caneta azul quadro branco ponta fina cor cor unica,3,0,0,0,0,0,0
caneta bic gripe roller fine preta,3,0,0,0,0,0,0
caneta bic gripe roller fine preta cor cor unica,3,0,0,0,0,0,0
caneta bic roller black,3,0,0,0,0,0,0
caneta bic roller black cor cor unica,3,0,0,0,0,0,0
caneta bisnaga marca malha,3,0,0,0,0,0,0
caneta bisnaga macaco malha,3,0,0,0,0,0,0
caneta bisnaga macaco malha cor cor unica,3,0,0,0,0,0,0
caneta conta comigo caneta logo estampa conta comigo grupo base cor azul,3,0,0,0,0,0,0
caneta conta comigo cor cor unica caneca logo estampa conta comigo grupo base cor azul,3,0,0,0,0,0,0
caneta correria cor cor unica caneta tipo correria cor branca apresentacao,3,0,0,0,0,0,0
caneta correria,3,0,0,0,0,0,0
caneta correria cor cor unica caneta tipo correria cor branca apresentacao referencia fabricante fazer castelo,3,0,0,0,0,0,0
caneta detector dinheiro falso,3,0,0,0,0,0,0
caneta detector dinheiro falso cor cor unica,3,0,0,0,0,0,0
caneta espero aluminio touch xmm caneta modelo esferografica ponteiro touch dimensoes xmm material aluminio complemento,3,0,0,0,0,0,0
caneta espero ilumina touch xmm,3,0,0,0,0,0,0
caneta espero ilumina touch xmm cor cor unica caneta modelo esferografica ponteiro touch dimensoes xmm material aluminio complemento,3,0,0,0,0,0,0
caneta esferografica azul cor cor unica,3,0,0,0,0,0,0
caneta esferografica preta cor cor unica,3,0,0,0,0,0,0
caneta esferografica med verde cor verde caneta tipo caneta esferografica ponta medium cor tinta verde forma fornecimento aviso apresentacao,3,0,0,0,0,0,0
caneta esferografica vermelha cor cor unica,3,0,0,0,0,0,0
caneta esf presidente eternity dourada ywo cromo caneta esferografica modelo caneta esferografica presidente ywo cromo aplicacao diretoria comprimento caneta fechada cor dourada peso diametro caneta clip comprimento caneta aberta diametro caneta clip,3,0,2,0,0,0,0
caneta exportar prata estojo veludo,3,0,0,0,0,0,0
caneta exportacao prata estojo veludo caneta complemento esportacao gravar logo grupo base estojo veludo cor prata unidade medida ncm,3,0,0,0,0,0,0
caneta exportacao prata estojo veludo cor cor unica caneta complemento esportacao gravar logo grupo base estojo veludo cor prata unidade medida ncm,3,0,0,0,0,0,0
caneta fixa corrente suporte fixacao caneta tipo fixa suporte corrente material metal,3,0,0,0,0,0,0
caneta fixa corrente suporte fixacao cor cor unica caneta tipo fixa suporte corrente material metal,3,0,0,0,0,0,0
caneta giz apagado guia caneta giz marca agia aplicacao macaco paineis,3,0,0,0,0,0,0
caneta giz apagado guia cor cor unica caneta giz marca agia aplicacao macaco paineis,3,0,0,0,0,0,0
caneta giz apagado guia,3,0,0,0,0,0,0
caneta hidrocor futura azul cor cor unica,3,0,0,0,0,0,0
caneta hidrocor futura preta cor cor unica,3,0,0,0,0,0,0
caneta hidrocor futura vermelha cor cor unica,3,0,0,0,0,0,0
caneta hidrografica core caneta tipo hidrografica core,3,0,0,0,0,0,0
caneta hidrografica core cor cor unica caneta tipo hidrografica core,3,0,0,0,0,0,0
caneta ipod cor cor unica,3,0,0,0,0,0,0
caneta kilometrica,3,0,0,0,0,0,0
caneta lumicolor amarela,3,0,0,0,0,0,0
caneta lumicolor amarela cor cor unica,3,0,0,0,0,0,0
caneta lumicolor amarela cor cor unica caneta lumicolor amarela,3,0,0,0,0,0,0
caneta lumicolor azul caneta tipo lumicolor cor azul,3,0,0,0,0,0,0
caneta lumicolor azul cor cor unica,3,0,0,0,0,0,0
caneta lumicolor azul cor cor unica caneta tipo lumicolor cor azul,3,0,0,0,0,0,0
caneta lumicolor laranja cor cor unica,3,0,0,0,0,0,0
caneta lumicolor verde caneta tipo lumicolor cor verde,3,0,0,0,0,0,0
caneta lumicolor verde cor cor unica,3,0,0,0,0,0,0
caneta lumicolor verde cor cor unica caneta tipo lumicolor cor verde,3,0,0,0,0,0,0
caneta lumicolor vermelha cor cor unica,3,0,0,0,0,0,0
caneta magica tecido azul,3,0,0,0,0,0,0
caneta magica tecido azul caneta magica marca premir,3,0,0,0,0,0,0
caneta magica tecido azul cor cor unica caneta magica marca premir,3,0,0,0,0,0,0
caneta magica tecido verde,3,0,0,0,0,0,0
caneta magica tecido verde caneta magica marca premir,3,0,0,0,0,0,0
caneta magica tecido verde cor caneta magica marca premir,3,0,0,0,0,0,0
caneta magica tecido vermelho caneta magica marca premir,3,0,0,0,0,0,0
caneta magica tecido vermelho cor cor unica caneta magica marca premir,3,0,0,0,0,0,0
caneta magia keep clean star caneta magica buraco tipo air erasable pen caneta apagarem fabricante keep clean star,3,0,0,0,0,0,0
caneta magia keep clean star roxa,3,0,0,0,0,0,0
caneta magia keep clean star roxa cor cor unica caneta magica buraco tipo air erasable pen caneta apagarem fabricante keep clean star,3,0,0,0,0,0,0
caneta marcador tecido azul cor cor unica,3,0,0,0,0,0,0
caneta marcador tecido air apagarem,3,0,0,0,0,0,0
caneta marcador tecido air apagarem cor cor unica,3,0,0,0,0,0,0
caneta marcador tecido preto cor cor unica,3,0,0,0,0,0,0
caneta marcador tecido vermelho cor cor unica,3,0,0,0,0,0,0
caneta marcador saint preta,3,0,0,0,0,0,0
caneta marcador saint preta cor cor unica,3,0,0,0,0,0,0
caneta marca texto medo caneta marca texto blush medo pacote unidades material plastico,3,0,0,0,0,0,0
caneta marca texto medo cor cor unica caneta marca texto blush medo pacote unidades material plastico,3,0,0,0,0,0,0
caneta marca texto nada cor cor unica caneta marca texto cor laranja dimensoes aproximada,3,0,0,0,0,1,0
caneta mil,3,0,0,0,0,0,0
caneta mil cor cor unica caneta colocar mil,3,0,0,0,0,0,0
caneta mil metal roller azul caneta marca mega brindes modelo caneta roller aluminio escrita azul complemento personalizada logo mil ncm,3,0,0,0,0,0,0
caneta mil metal roller azul cor cor unica caneta marca mega brindes modelo caneta roller aluminio escrita azul complemento personalizada logo mil ncm,3,0,0,0,0,0,0
caneta multidao permanente fazer castelo cor cor unica caneta multidao permanente fazer castelo ponta dia,3,0,0,0,0,0,0
caneta multidao permanente fazer castelo ponta dia,3,0,0,0,0,0,0
caneta ranking,3,0,0,0,0,0,0
caneta ranking cor cor unica,3,0,0,0,0,0,0
caneta ranking uniria,3,0,0,0,0,0,0
caneta ranking uniria cor cor unica,3,0,0,0,0,0,0
caneta ranking uni pin fine line,3,0,0,0,0,0,0
caneta ranking uni pin fine line cor cor unica,3,0,0,0,0,0,0
caneta papel mate cor cor unica,3,0,0,0,0,0,0
caneta retro projetor azul cor cor unica,3,0,0,0,0,0,0
caneta retro projetor preta cor cor unica,3,0,0,0,0,0,0
caneta retro projetor verde cor cor unica,3,0,0,0,0,0,0
caneta retro projetor ver,3,0,0,0,0,0,0
caneta retro projetor vermelha cor cor unica,3,0,0,0,0,0,0
caneta tecido preta cor cor unica,3,0,0,0,0,0,0
caneta caligrafia pontas tombo cor preto,3,0,0,0,0,0,0
caneta caligrafia pontas tombo cor vermelho,3,0,0,0,0,0,0
caneta peru possa uni ponta caneta permanente possa uni cor amarelo ponta,3,0,0,0,0,0,0
caneta peru possa uni ponta cor cor unica caneta permanente possa uni cor amarelo ponta,3,0,0,0,0,0,0
caneta peru possa uni ponta prata caneta permanente possa uni cor prata ponta,3,0,0,0,0,0,0
caneta peru possa uni ponta prata cor cor unica caneta permanente possa uni cor prata ponta,3,0,0,0,0,0,0
caneta cima pen blush segura preta,3,0,0,0,0,0,0
caneta cima pen blush segura preta cor cor unica,3,0,0,0,0,0,0
caneta cima sensei segura xwk caneta cima sensei chanfrado segura xwk,3,0,0,0,0,0,0
caneta cima sensei segura xwk cor cor unica caneta cima sensei chanfrado segura xwk,3,0,0,0,0,0,0
caneta pincel atomico azul,3,0,0,0,0,0,0
caneta pincel atomico azul caneta pincel atomico cor azul espessura ponta,3,0,0,0,0,0,0
caneta pincel atomico azul cor cor unica caneta pincel atomico cor azul espessura ponta,3,0,0,0,0,0,0
caneta pincel atomico preto,3,0,0,0,0,0,0
caneta pincel atomico preto caneta pincel atomico cor preto espessura ponta,3,0,0,0,0,0,0
caneta pincel atomico preto cor cor unica caneta pincel atomico cor preto espessura ponta,3,0,0,0,0,0,0
caneta pincel atomico ref azul,3,0,0,0,0,0,0
caneta pincel atomico ref azul cor cor unica,3,0,0,0,0,0,0
caneta pincel atomico ref preto,3,0,0,0,0,0,0
caneta pincel atomico ref preto cor cor unica,3,0,0,0,0,0,0
caneta pincel atomico ref vermelho,3,0,0,0,0,0,0
caneta pincel atomico ref vermelho cor cor unica,3,0,0,0,0,0,0
caneta pincel atomico vermelho,3,0,0,0,0,0,0
caneta pincel atomico vermelho caneta pincel atomico cor vermelho espessura ponta,3,0,0,0,0,0,0
caneta pincel atomico vermelho cor cor unica caneta pincel atomico cor vermelho espessura ponta,3,0,0,0,0,0,0
caneta marca malha partes,3,0,0,0,0,0,0
caneta mesa digitalizado lhes caneta aplicacao mesa digitalizado marca com referencia lhes nivel pressao ponta ponta substituivel compatibilidade cth cth ctl,3,0,0,0,0,0,0
