cliente,descricao,ncm,ite_unidade,cat1,cat2,cat3,Nova cat 1,Nova cat 2,Nova cat 3,,
base6,BLOCO CONTATO P/ BOTAO ZB4/ZB5 NA (PAINEL),,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"PAINEL PNEUMATICO C/ VALV. BOTAO/TRAVA, REGULADOR",85381000,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA REF; 2158455601,84799090,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA UNIAO 1/4,74122000,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"LUVA UNIÃO INSTANTANEA 3/8"" P/ BICO ASPERSOR DE LATÃO",73261900,UN,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA P/ DISTRIB. DJ/DLS 6MM,74122000,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"LUVA UNIAO RETA 3/8"" MOD:8403",39174090,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA P/ DISTRIB. DJ/DLS 4MM,74122000,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA UNIAO DUPLA P/ TUBO 10 MM,39174090,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"LUVA (ANILHA) DE LATAO 60F04 1/4""",73251000,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"LUVA 2103002 1/4"" USADO PELA base6 PARA FAZER DEVOLUCAO VEIO ERRADO FIEDLER NF 86366",74122000,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA UNIAO DUPLA P/ TUBO 1/4,74122000,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"PAINEL PNEUMATICO C/ VALV. BOTAO/TRAVA, REGULADOR",85381000,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,AIRTAC VALV 4L210-08-S BOTAO/MOLA 5/2 VIAS 1/4,84818092,UN,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA EM LATAO 1/2 2103004 1/2,74122000,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA REDUCAO PNEUMATICA 10X6MM (EXT 7),39174090,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA PNEUMATICA REDUCAO 10X8MM (EXT 7),39174090,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"VALVULA 3/2 VIAS ROSCA 1/8"" BOTAO MOLA",84818099,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"LUVA 2103002 1/4"" USADO PELA base6 PARA FAZER DEVOLUCAO VEIO ERRADO FIEDLER NF 86366",74122000,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,PORCA FLANGE C/ ANILHA LUVA F04 1/4 261-P,74122000,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,BLOCO CONTATO P/ BOTAO ZB4/ZB5 NA (PAINEL),,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA 2103001 1/8,74122000,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"LUVA UNIÃO INSTANTANEA 3/8"" P/ BICO ASPERSOR DE LATÃO",73261900,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"LUVA UNIAO RETA 3/8"" MOD:8403",39174090,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA DE REDUCAO PU 8 X 6 MM,39174090,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA PNEUMATICA REDUCAO 12X10MM (EXT 7),39174090,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA CONEXAO COBRE 1/2,74122000,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA COBRE 7/8,74122000,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"LUVA (ANILHA) DE LATAO 60F04 1/4"" P",73251000,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"LUVA (ANILHA) DE LATAO 60F06 3/8""",84123190,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA 1/2 2103004 - FORNO 02,,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA UNIAO DUPLA P/ TUBO 12 MM,,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA UNIAO 3/8,39174090,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA DE COBRE 5/8,74121000,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA DE COBRE 1.1/8,74122000,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,CAIXA PAPELAO P/ ENVIO AMOSTRA Pb,48191000,UN,EMBALAGEM,EMBALAGEM,EMBALAGEM,Material,Embalagens,Embalagens de Papel,,
base7,SACOS DE PAPEL C/ TIMBRE 3 FOLHAS CAP 25KG,,mil,EMBALAGENS,EMBALAGENS,SACOS DE PAPEL,Material,Embalagens,Embalagens de Papel,,
base7,PAPEL DE TORNASSOL,,und,EMBALAGENS,EMBALAGENS,PAPELÃO,Material,Embalagens,Embalagens de Papel,,
base7,"SACOS DE PAPEL KRAFT, COSTURADO VALVULADO, COM TIMBRE Lado  16 cm +- 2 - Linha de cola  3 cm +-1 - Altura total  60 cm +- 2 - Formato  105x70 +- 2",,mil,EMBALAGENS,EMBALAGENS,SACOS DE PAPEL,Material,Embalagens,Embalagens de Papel,,
base7,SACOS DE PAPEL KRAFT LAMINADO SEM TIMBRE DE 25KG,,mil,EMBALAGENS,EMBALAGENS,PAPELÃO,Material,Embalagens,Embalagens de Papel,,
base7,PAPELAO,,und,EMBALAGENS,EMBALAGENS,PAPELÃO,Material,Embalagens,Embalagens de Papel,,
base7,PAPEL ALUMINIO,,und,EMBALAGENS,EMBALAGENS,PAPELÃO,Material,Embalagens,Embalagens de Papel,,
base7,PAPEL INDICADOR PH 0-14,,und,EMBALAGENS,EMBALAGENS,PAPELÃO,Material,Embalagens,Embalagens de Papel,,
base7,PAPEL ISOLAMENTO,,und,EMBALAGENS,EMBALAGENS,PAPELÃO,Material,Embalagens,Embalagens de Papel,,
base7,PAPELAO HIDRAULICO TEADIT 1500 X 1600 ESP 1/16,,fl,EMBALAGENS,EMBALAGENS,PAPELÃO,Material,Embalagens,Embalagens de Papel,,
base7,COADOR PAPEL,,und,EMBALAGENS,EMBALAGENS,PAPELÃO,Material,Embalagens,Embalagens de Papel,,
base9,CAIXADE PAPELAO MASSA DE POLIR N.2 BASE AGUA 1 KG (EB0808),48189090,UN,EMBALAGENS,EMBALAGENS,EMBALAGENS DE PAPEL,Material,Embalagens,Embalagens de Papel,,
base9,CAIXA DE PAPELAO MASSA DE POLIR N.2 1KG (6/CX) (EB0809),48189090,UN,EMBALAGENS,EMBALAGENS,EMBALAGENS DE PAPEL,Material,Embalagens,Embalagens de Papel,,
base9,CAIXA DE PAPELAO MASSA DE POLIR N.2 500 G (6/CX) (EB0810),48189090,UN,EMBALAGENS,EMBALAGENS,EMBALAGENS DE PAPEL,Material,Embalagens,Embalagens de Papel,,
base9,CAIXAS PAPELAO ONDULADO,0,PC,EMBALAGENS,EMBALAGENS,EMBALAGENS DE PAPEL,Material,Embalagens,Embalagens de Papel,,
base9,CAIXA DE PAPELAO ALCOOL GEL 5L (EB0813),0,UN,EMBALAGENS,EMBALAGENS,EMBALAGENS DE PAPEL,Material,Embalagens,Embalagens de Papel,,
base1,PAPEL A4 RESMA COR AMARELO - UTILIZAÇÃO PADRAO: PRODUÇÕES DE PRODUTO E1 / EXPORTAÇÃO ESTOQUE MINIMO-02 MAXIMO-04,40151200,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Clips para papel 4 / 0 CLIPS PARA PAPEL Nº 4 / 0 ,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Papel A5,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Papel Sulfite A4 Colorido (Rosa/Verde/Amarelo/Azul) GRP: Administração em geral. - GRS:,48030090,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,FITA ADESIVA DUPLA FACE PAPEL 48MMX30M SCOTCH 3M GERAL EST.MIN. 10 - MAX. 20 UN,84212090,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Papel Couche A4 120,61034900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Papel para Flip Chart,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Porta papel higienico,96089989,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Kit De 24 Cores Canetas Tipo Stabilo Ponta Fina 0.4 Mm Hidro grafico,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Papel Contact Transparente,83059000,MT,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,CANETA RETRO PONTA FINA PRETO 1.0 - ESCRITORIO ,84212090,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta ponta fina azul bic Caneta bic ponta fina azul,96081000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Bobina Papel Pardo Semi-kraft 60cm,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,CANETA MARCA TEXTO AZUL.. CANETA MARCA TEXTO AZUL. ESCRITORIO - ,,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Papel A4 GRP: Administração em geral. - GRS:,48030090,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Bobina de papel calculadora BOBINA DE PAPEL (CALCULADORA) GRP: Administração em geral. - GRS:,39234000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Porta caneta lapis clips ,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta esperografica vermelha CANETA ESFEROGRÁFICA VERMELHA GRP: Administração em geral. - GRS:,96083900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Arquivo morto cx papelão ARQUIVO MORTO PAPELAO ,48030090,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Clips para papel 2 / 0 CLIPS PARA PAPEL Nº 2 / 0 GRP: Administração em geral. - GRS:,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Clips para papel 8 / 0 CLIPS PARA PAPEL Nº 8 / 0 ,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Clips para papel 6/0 ,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta esferografica azul GRP: Administração em geral. - GRS:,96083900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta esferografica preta (COD. CONT.85) GRP: Administração em geral. - GRS:,96083900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta retro-projetora 2.0 mm azul Caneta retro-projetor 2.0mm azul ,96083900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Clips para papel nº 3/0 CLIPS PARA PAPEL Nº 3 / 0 ,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Clips para papel nº 1/0 CLIPS PARA PAPEL Nº 1/0 GRP: Escritorio - GRS:,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta retro-projetora 1.0 mm preta Nº CI: -CANETA RETRO-PROJETO PRETA PONTA 1MM GRP: Escritorio - GRS:,96083900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta retro-projetora 2.0 mm preta Caneta retro-projetor 2.0MM preta GRP: Escritorio - GRS:,96083900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta retro-projetora 1.0 mm vermelha Nº CI: -CANETA RETRO-PROJETO VERMELHA PONTA 1MM (COD. CONT.1261) GRP: Escritorio - GRS:,96083900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Papel Para Fotos A4,48025799,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta retro-projetora 2.0 mm verde CANETA RETRO-PROJETOR 2.0MM VERDE ,96083900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta esferografica verde CANETA ESFEROGRAFICA VERDE ,96083900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Papel A3 Sulfite 75G Resma c/ 500 unidades (Papel A3 Fino) ,48192000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Porta papel / alvara A4 Horizontal Porta Alvara A4 Horizontal ,83059000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Caneta retro-projetora 2.0mm vermelha CANETA PARA RETRO-PROJETOR ,96083900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,"PAPEL BASE PLOTER 610MM X 50M - 75GR C/TUBETE 2"". IMPRESSORA PROJETO EST. MÍNIMO 10 MAX.15 UN",48025592,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,PAPEL CONTACT TRANSPARENTE 45CM X 25MTS. GERAL ,39199090,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,CANETA ESFEROGRAFICA PRETA GERAL ,96081000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,CANETA ESFEROGRAFICA VERMELHA GERAL ,96081000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,CANETA MARCA TEXTO VERDE GERAL ,,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,CANETA MARCA TEXTO AMARELA. CANETA MARCA TEXTO AMARELA GERAL ,96082000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,Papel Crepom ,61034900,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,CANETA ESFEROGRAFICA AZUL MARCA BICMEXP CANETA ESFEROGRAFICA AZUL - MARCA: BIC GERAL ,96081000,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,BLOCO PAPEL FLIP CHART C/ 50 FOLHAS - ,0,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
base1,PAPEL A3 COUCHE - CARTAZES RH ,,UN,MATERIAIS DE EXPEDIENTE E TI,Expediente,Papelaria e Escritório,Material,Expediênte,Papelaria,,
