frase_quantidade
"LUVA, Quantidade: 9"
"JUNTAS DE CARTAO/PAPELAO DE ALTA TEMPERATURA PARA VEDACAO DE OLEO NO MOTOR DE INGNICAO POR CENTELHA (COMBUSTAO) DA ROCADEIRA DE GRAMA RETO MANUAL A GASOLINA FABRICANTE YAT. KIT JUNTAS PARA USO NO MOTOR DA ROCADEIRA DE GRAMA RETO - 35CC (1300W)COMPOSTO POR: 01 PC - JUNTA DO CARTER TRASEIRA - COD. 8202-987202-0000010 02 PC - RETENTOR DE OLEO - COD. 9208-987105-0000010 01 PC - JUNTA DO CARTER CENTRAL - COD. 8202-987205-0000010 01 PC - JUNTA DO CILINDRO - COD. 8202-987204-0000010 01 PC - JUNTA DO CARBURADOR - COD. 8202-987203-0000010 01 PC - JUNTA DO CARTER FRONTAL - COD. 8202-987201-0000010 GASKET SET WITH: 01 PC - PAPER WASHER - COD. 8202-987202-0000010 02 PC - OIL SEAL - COD. 9208-987105-0000010 01 PC - PAPER WASHER - COD. 8202-987205-0000010 01 PC - PAPER WASHER - COD. 8202-987204-0000010 01 PC - ENTER AIR WASHER - COD. 8202-987203-0000010 01 PC - PAPER WASHER - COD. 8202-987201-0000010 APLICACAO: FERRAMENTA DE JARDINAGEM - ROCADEIRA DE GRAMA RETO - 35CC (1300W), Quantidade: 3"
"PAPEL A4 AMARELO, Quantidade: 3"
"JUNTAS DE PAPELAO HIDRAULICO PARA VEDACAO DE OLEO NO CABECOTE DO MOTOR DE IGNICAO POR CENTELHA (COMBUSTAO). FABRICANTE LUTIAN. VEDACAO CABECOTE USO MOTOR DO GERADOR S5500MG COMPOSTO POR: 01 PC - JUNTA TAMPA DO CABECOTE PAPELAO HIDRAULICO COM INSERTO METALICO - COD. 01.01.10.007.006 01 JUNTA TAMPA DAS VALVULA EM BORRACHA VULCANIZADA NÃO ENDURECIDA - COD. 01.01.10.005.008 CYLINDER GASKET SET WITH: 01 PC - HEAD COVER GASKET - COD. 01.01.10.007.006 01 PC - CYLINDER HEAD GASKET - COD. 01.01.10.005.008 PACKED A ONE SET ONE BAG WITH A LABEL INFORMING SCHULZ CODE. APLICACAO: GERADOR ELETRICO - S5500MG - 919.0209-0 FABRICANTE: LUTIAN, Quantidade: 3"
"JUNTA DE PAPELAO HIDRAULICO PARA VEDACAO DE GASES E OLEO NA VALVULA DE ADMISSAO DO MOTOR DE IGNICAO POR CENTELHA (COMBUSTAO). FABRICANTE UNITED POWER. REPARO VALVULA DE ADMISSAO - COD. 022010001900 USO MOTOR DO GERADOR S950MG INTAKE VALVE GASKET - COD. 022010001900 APLICACAO: GERADOR ELETRICO - S950MG - 919.0203-0/919.0204-0 FABRICANTE: UNITED POWER, Quantidade: 3"
"USO ML LUVA DE PROCED. G PCT C/100, Quantidade: 3"
"LUVA MULTITATO, Quantidade: 3"
"PAPEL A3, Quantidade: 3"
"Papel de seda, Quantidade: 3"
"JUNTAS DE PAPELAO HIDRAULICO PARA VEDACAO DE COMBUSTIVEL E AR ATMOSFERICO NO CARBURADOR DO MOTOR DE IGNICAO POR CENTELHA (COMBUSTAO). FABRICANTE UNITED POWER. REPARO CARBURADOR USO MOTOR DO GERADOR S950MG COMPOSTO POR: 01 PC - JUNTA TRASEIRA - COD. 022010002000 01 PC - JUNTA DIANTEIRA - COD. 22010002100 CARBURETOR REPAIR SET WITH: 01 PC - INTAKE GASKET - COD. 022010002000 01 PC - CARBURATOR GASKET B - COD. 22010002100 APLICACAO: GERADOR ELETRICO - S950MG - 919.0203-0/919.0204-0 FABRICANTE: UNITED POWER, Quantidade: 3"
"CAIXA DE PAPELAO PARA COMPRESSOR CSA75/20 LITROS NAS MEDIDAS INTERNAS DE C= 543mm X L= 263mm X A=595mm EM PAPELAO ONDA DUPLA PARDO KRAFT/KRAFT COM FECHAMENTO INFERIOR E SUPERIOR TIPO MALETA SIMPLES COM LATERAL COLADA COM COLA INSTANTANEA EM AMBOS FECHAMENTOS COM IMPRESSAO PRATIC AIR. CAIXA PAPELAO P/ CSA75/20L. PRATIC AIR., Quantidade: 3"
"PAPEL A4 AZUL, Quantidade: 3"
"USO ME PAPEL VERGE CERTIFICADO A4 180G BRANCO C/50, Quantidade: 3"
"USO ML LUVA LATEX PAR TAM.M, Quantidade: 3"
"USO ML LUVA LATEX PAR TAM.P, Quantidade: 3"
"USO ML LUVA TERMICA CURTA GRAFATEX 35CM, Quantidade: 3"
"GALV. LUVA 1/2, Quantidade: 3"
"GALV. LUVA 2, Quantidade: 3"
"LUVA GALVANIZADA 4, Quantidade: 3"
"JUNTA DE PAPEL TRATADO, Quantidade: 3"
"COPO PAPEL PAO DE QUEIJO AMAR. C/50 330ML, Quantidade: 3"
"GALV. LUVA 2.1/2, Quantidade: 3"
"COPO PAPEL PAO DE QUEIJO AZUL C/50 330ML, Quantidade: 3"
"COPO PAPEL PAO DE QUEIJO VERM. C/50 330ML, Quantidade: 3"
"JUNTA DE PAPEL, Quantidade: 3"
"USO INS CANUDO PAPEL KRAFT 6MM / 20CM C/200, Quantidade: 3"
"JUNTA DE CARTAO/PAPELAO DE ALTA TEMPERATURA PARA VEDACAO DE GASES E OLEO DO MOTOR DE IGNICAO POR CENTELHA (COMBUSTAO). FABRICANTE LUTIAN. JUNTA DO SILENCIOSO - COD. 1.01.10.024.005 USO MOTOR DO GERADOR S5500MG MUFFLER GASKET - COD. 1.01.10.024.005 EACH MUFFLER GASKET PACKED SEPARETELY. WITH A LABEL INFORMING SCHULZ CODE. APLICACAO: GERADOR ELETRICO - S5500MG - 919.0209-0 FABRICANTE: LUTIAN, Quantidade: 3"
"PAPEL DE SEDA, Quantidade: 3"
"JUNTA DE CARTAO/PAPELAO DE ALTA TEMPERATURA PARA VEDACAO DE GASES E OLEO DO MOTOR DE IGNICAO POR CENTELHA (COMBUSTAO). FABRICANTE LUTIAN. JUNTA DO SILENCIOSO - COD. 01.01.10.024.004 USO MOTOR DO GERADOR S2500MG E S3500MG MUFFLER GASKET - COD. 01.01.10.024.004 APLICACAO: GERADOR ELETRICO - S2500MG/S3500MG - 919.0207-0/919.0208-0 FABRICANTE: LUTIAN, Quantidade: 3"
"CONJUNTO DE JUNTAS DE VEDACAO EM PAPELAO HIDRAULICO TEADIT 1052 - SEM AMIANTO COM FIBRA ARAMIDA E BORRACHA NBR COM 4 UNIDADES PARA VEDACAO AR/OLEO NO COMPRESSOR DE AR MSV-30/40MAX ---------------------------------------------- REVISAO SCHULZ FEV/MAR 2015 ------------------------------- JOGO JUNTA DO CABECOTE MSV 30/40MAX NAO AMIANTO NO MATERIAL NA1052 (TEADIT) COM DIMENSOES CONFORME DESENHOS * 023.0306-0 (1PC) 023.0307-0 (1PC) 023.0308-0 (1PC) 023.0309-0 (1PC).* JUNTA SUPERIOR NAO AMIANTO., Quantidade: 3"
"CANETA, Quantidade: 3"
"LUVA DE REDUCAO MOLDADO EM FERRO FUNDIDO NÃO MALEAVEL GALVANIZADO ROSCADO COM ROSCA FEMEAxFEMEA DE 1.1/2 POLEGADAS PARA 1 POLEGADA NPT COM DIAMETRO NOMINAL DE 40 MMx 25mm. ----------------------------------------------------------- REVISAO SCHULZ JUL/AGO 2015 ------------------------------------------------- LUVA DE REDUCAO M/F 1""x1.1/2"" NPT GALVANIZADO, Quantidade: 3"
"PAPELAO, Quantidade: 3"
"CAIXA DE PAPELAO ENVIO BRINDES, Quantidade: 3"
"USO ME CANETA MARCA TEXTO VERDE UN, Quantidade: 3"
"USO ME CANETA BIC CRISTAL VERMELHA UN, Quantidade: 3"
"CAIXA PAPEL ONDULADO PLANA (PAPELAO) KRAFT. COR: PARDA. TIPO DE FECHAMENTO: MANUAL. FUNDO SEMI AUTOMATICO. SEM IMPRESSAO. UTILIZADA PARA ARMAZENAGEM DE ITENS DIVERSOS. DIMENSOES EXTERNAS/INTERNAS CONFORME DESENHO. CAIXA DE PAPELAO ONDULADO (PAPELAO) PARA USO NO SAC., Quantidade: 3"
"CANETA MARCA TEXTO VERDE, Quantidade: 3"
"CANETA BIC, Quantidade: 3"
"Luva Nitril-Pró 899 Acab. Clorinado C.A 20331 - Tamanho P, Quantidade: 2"
"BOTA, Quantidade: 2"
"BOTA DE BORRACHA CANO MEDIO TAM-36 (FILIAL 12), Quantidade: 2"
"BOTA CINZA FEMININA RED CASE IH 37, Quantidade: 2"
"BOTA CLASSIC MARROM MASCULINA RED CASE I, Quantidade: 2"
"BOTA FEMININA, Quantidade: 2"
"CESTA CAIXA DE PAPELAO, Quantidade: 2"
"NESCAFE COPO PAPEL NPRO 7G, Quantidade: 2"
"LUVAS NEOLATEX DANNY DA-224D MEDIA., Quantidade: 2"
"FILTRO DE PAPEL ITAMARATY, Quantidade: 2"
"FORMINHA PAPEL C. BRASIL NR 0 QUINDIM 1X1000, Quantidade: 2"
"LUVA PVC 9.1/2 36, Quantidade: 2"
"FILTRO PAPEL TRES CORACOES 103 C/30, Quantidade: 2"
"CX PAPEL KIT MOTORISTA 300 X 250 X 150, Quantidade: 2"
"LUVA NITRILICA DANNY REFERENCIA 26805, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO, Quantidade: 2"
"EMBALAGEM CAIXA DE PAPELAO, Quantidade: 2"
"EMBAL.CAIXA PAPELAO UN, Quantidade: 2"
"FILTRO DE PAPEL TRES CORACOES 102 30PC, Quantidade: 2"
"BOTA VULCABRAS BRANCA N° 39, Quantidade: 2"
"BOTA VULCABRAS BRANCA N° 38, Quantidade: 2"
"BOTA ITALBOTAS SUPERMAX CL PT 40 CA28489, Quantidade: 2"
"BOTA PRETA DE 7 LEGUAS Nº40, Quantidade: 2"
"BOTA DE BORRACHA S/ BICO DE ACO BRACOL Nº 36, Quantidade: 2"
"BOTA DE BORRACHA S/ BICO DE ACO BRACOL Nº 37, Quantidade: 2"
"BOTA DE BORRACHA S/ BICO DE ACO BRACOL Nº 35, Quantidade: 2"
"BOTA DE BORRACHA S/ BICO DE ACO BRACOL Nº 38, Quantidade: 2"
"BOTA DE BORRACHA S/ BICO DE ACO BRACOL Nº 39, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO C/ BICO DE ACO Nº 37, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO C/ BICO DE ACO Nº 36, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO C/ BICO DE AÇO N°45, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO C/ BICO DE AÇO N°44, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO C/ BICO DE AÇO N°43, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO C/ BICO DE AÇO N°42, Quantidade: 2"
"BOTA OVERTECH BRANCA N° 40 BEPCC02 VULC, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO C/ BICO DE AÇO N°41, Quantidade: 2"
"BOTA P/CHUVA SEM FIM BORRACHA CANO 28-PRETA TAM.38 CA 28490, Quantidade: 2"
"BOTA PVC, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO C/ BICO DE AÇO N°40, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO C/ BICO DE AÇO N°39, Quantidade: 2"
"BOTA DE BORRACHA CANO LONGO C/ BICO DE AÇO N°38, Quantidade: 2"
"BOTA TECH BOOT TAM. 36, Quantidade: 2"
"BOTA VULCABRAS BRANCA N° 35, Quantidade: 2"
"BOTA VULCABRAS BRANCA N° 36, Quantidade: 2"
"BOTA P/CHUVA SEM FIM BORRACHA CANO 28-PRETA TAM.42 CA 28490, Quantidade: 2"
"BOTA P/CHUVA SEM FIM BORRACHA CANO 28-PRETA TAM.41 CA 28490, Quantidade: 2"
"BOTA P/CHUVA SEM FIM BORRACHA CANO 28-PRETA TAM.40 CA 28490, Quantidade: 2"
"BOTA P/CHUVA SEM FIM BORRACHA CANO 28-PRETA TAM.39 CA 28490, Quantidade: 2"
"BOTA VULCABRAS BRANCA N°37, Quantidade: 2"
"BOTA OVERTECH BRANCA N° 36 BEPCC02, Quantidade: 2"
"CAIXA PAPELAO DUPLA NR.18 465X465X465 Marca: - Modelo: - Cor: - Tamanho:, Quantidade: 2"
"SACO DE PAPEL KRAFT 10KG C/500, Quantidade: 2"
"PAPEL PLOTER PARDO 170 X 35/40 G X 250 M, Quantidade: 2"
"CX PAPELÃO LOGO RESER IMPORTADA, Quantidade: 2"
"TALA MOLDAVEL DE PAPELAO (BRIGADA), Quantidade: 2"
"PAPEL PARA EMPASTAMENTO 87MM (ESPECIAL), Quantidade: 2"
"PAPEL PARA EMPASTAMENTO 67MM (ESPECIAL), Quantidade: 2"
"COPO DESCARTAVEL DE PAPEL, Quantidade: 2"
"CAIXA PAPELAO P/ ENVIO AMOSTRA Pb, Quantidade: 2"
"CAIXA DE PAPELAO ONDULADO, Quantidade: 2"
"SACOLA PAPEL MILON PP - 21X15X8CM - Cor: COR UNICA SACOLA MILON - TAMANHO: PP - 21X15X8CM - MATERIAL: PAPEL, Quantidade: 2"
"USO INS COPO DE PAPEL C/25 270ML, Quantidade: 2"
"PAPEL KRAFT PURO 110 X 250 M 60G PARDO - Cor: COR UNICA, Quantidade: 2"
"PAPEL KRAFT 40G/M² 1800MM 500M - Cor: COR UNICA PAPEL - MATERIAL: KRAFT - GRAMATURA: 40G/M² - FORMATO: 1800MM - APRESENTACAO: BOBINA 500M, Quantidade: 2"
"PAPEL A4 VERDE C/ 500FLS - Cor: COR UNICA, Quantidade: 2"
"PAPEL A4 ROSA C/ 500FLS - Cor: COR UNICA, Quantidade: 2"
"PAPEL A4 AZUL C/ 500FLS - Cor: COR UNICA, Quantidade: 2"
"PAPEL 75 GR. A4 C/ 500FLS - Cor: COR UNICA, Quantidade: 2"
"CAIXA DE PAPELAO, Quantidade: 2"
"204.0340-0-CINTA DE PAPEL CARTAO DUPLEX COM IMPRESSAO 4 CORES COM MEDIDAS EXTERNAS DE C=271 X L=215 X 80 mm PARA FERRAMENTA SFA 17. CINTA PAPEL 271X215X 80mm - SFA 17 926.0037-0, Quantidade: 2"
"204.0386-0-CAIXA DE PAPELÃO EM CARTÃO DUPLEX 300GR/M2 E PAPELÃO KRAFT ONDULADO TIPO ""B"" DIMENSÕES: 455 MM X 335 MM X 230 MM REFERENCIA: 204.0386-0 FORNECEDOR: NINGBO HAITAN INT. CO. LTD. WING LEE HARDWARE AND ELECTRICAL EQUIPMENT REVISADO P/ MARTINELLI EM 26/07//2012 - INCLUIDO NO SISTEMA EM 26/07/2012 CAIXA DE PAPELAO EM CARTAO DUPLEX 300GR/M2 E PAPELAO KRAFT ONDA B IMPRESSAO EM QUATRO CORES COM MEDIDAS EXTERNAS DE C= 455 mm X L= 335 mm X A= 230 mm PARA FURADEIRA FSB13P PRATIKA (CHINA) CODIGO 912.0399-0 CAIXA DE PAPELAO FURADEIRA FSB13P PRATIKA CARDBOARD BOX WITH CARD KRAFT DUPLEX 300GR/M2 WAVE B PRINTING IN FOUR COLOURS WITH MEASURES OF EXTERNAL C = 455 mm XL = 335 mm X 230 mm. FOR FURADEIRA FSB13P PRATIKA (CHINA) CODE 912.0399-0., Quantidade: 2"
"204.0387-0-CAIXA DE PAPELÃO EM CARTÃO DUPLEX 300GR/M2 E PAPELÃO KRAFT ONDULADO TIPO ""B"" DIMENSÕES: 570 MM X 380 MM X 245 MM REFERENCIA: 204.0387-0 . FORNECEDOR:NINGBO HAITAN INT. CO. LTD. WING LEE HARDWARE AND ELECTRICAL EQUIPMENT. REVISADO P/ MARTINELLI EM 26/07/2012 - INCLUIDO NO SISTEMA EM 26/07/2012 CAIXA DE PAPELAO EM CARTAO DUPLEX 300GR/M2 E PAPELAO KRAFT ONDA B PLASTIFICADO IMPRESSAO EM QUATRO CORES COM MEDIDAS EXTERNAS DE C= 570 mm X L= 390 mm X A= 245 mm. PARA FURADEIRA FSB16P PRATIKA (CHINA) CODIGO 912.0398-0. CARDBOARD BOX WITH CARD KRAFT DUPLEX 300GR/M2 WAVE B COATED PRINTING IN FOUR COLOURS WITH MEASURES OF EXTERNAL C = 570 mm XL = 390 mm X 245 mm. FOR FURADEIRA FSB16P PRATIKA (CHINA) CODE 912.0398-0., Quantidade: 2"
"204.0419-0-CINTA DE PAPEL CARTAO DUPLEX COM IMPRESSAO 4 CORES COM MEDIDAS EXTERNAS DE C=418 X L=186 X A=76 mm PARA LIXADEIRA SFL45, Quantidade: 2"
"204.0527-0-CAIXA DE PAPELÃO MICROONDULADO PLASTIFICADO IMPRESSÃO: QUATRO CORES MEDIDAS EXTERNAS: C:000 X L:000 X A:000MM UTILIZADO NOS PRODUTOS: 929-0014-0 E 929.0015-0, Quantidade: 2"
"204.0521-0-CAIXA DE PAPELÃO MICROONDULADO PLASTIFICADO IMPRESSÃO: QUATRO CORES MEDIDAS EXTERNAS: C:300 X L:80 X A:x240MM UTILIZADO NOS PRODUTOS: 929-0002-0 E 929.0003-0, Quantidade: 2"
"204.0520-0-CAIXA DE PAPELÃO MICROONDULADO PLASTIFICADO IMPRESSÃO: QUATRO CORES MEDIDAS EXTERNAS: C:300 X L:80 X A:x240MM UTILIZADO NOS PRODUTOS: 929-0000-0 E 929.0001-0, Quantidade: 2"
"204.0519-0-CAIXA DE PAPELÃO MICROONDULADO PLASTIFICADO IMPRESSÃO: QUATRO CORES MEDIDAS EXTERNAS: C=355 X L=190 X A=245 MM UTILIZADO NO PRODUTO: 10011012 CARDBOARD BOX: CORRUGATED MICRO CARDBOARD PRINTING: FOUR COLORS - COLOR BOX EXTERNAL MEASURES: C=370 X L=190 X A=245 MM USED IN PRODUCT: 10011012, Quantidade: 2"
"204.0515-0-CAIXA DE PAPELÃO PARA REPOSIÇÃO USADA NAS MOTOBOMBAS MODELO SASP INOX 05CV - 16038003 (127VOLTS) e 16038004 (220VOLTS) MATERIAL: ONDA B DUPLA+ CARTÃO DUPLEX 210/225GR MEDIDAS EXTERNAS: C=3349 X L=2002 X A=1799 mm FECHAMENTO: CENTRAL IMPRESSÃO: QUATRO CORES + PLASTIFICADA CARTON FOR REPOSITION USED IN BOTH PUMPS MODEL SASP INOX 05CV 16038003 (127VOLTS) AND 16038004 (220VOLTS) MATERIAL:DOUBLE WALL CORRUGATED + KRAFT 210/225GR EXTERNAL DIMENSIONS: 3349 X 2002 X 1799 mm CLOSINIG: CENTRAL PRINTING: FOUR COLORS + PLASTICIZED, Quantidade: 2"
"204.0513-0-CAIXA DE PAPELÃO PARA MOTOBOMBA SHP 35 - UTILIZADO NOS AMBOS PRODUTOS: 16041005 (127VOLTS) e 16041006 (220VOLTS) MEDIDAS EXTERNAS: C=280 X L=140 X A=170mm MATERIAL: ONDA B SIMPLES + CARTÃO DUPLEX 210/225GR FECHAMENTO: CENTRAL IMPRESSÃO: QUATRO CORES + PLASTIFICADA CARTON FOR REPOSITION USED IN BOTH PUMPS MODEL SHP 35 - 16041005 (127VOLTS) AND 16041006 (220VOLTS) EXTERNAL DIMENSIONS: 280 X 140 X 170mm MATERIAL: SINGLE WALL CORRUGATED + KRAFT 210/225GR CLOSING: CENTRAL PRINTING: FOUR COLORS + PLASTICIZED, Quantidade: 2"
"204.0510-0-CAIXA DE PAPELAO PARA CANECA COM TAMPA AIR PLUS SPRAY 300W/350W - ACESS MEDIDAS INTERNAS DE C=122mm X L= 122mm X A=130mm MATERIAL: CARTAO DUPLEX DE 250 A 300GR/M2 E PAPELAO ONDA BC FECHAMENTO: INFERIOR E SUPERIOR TIPO MALETA SIMPLES COM FITA TRANSPARENTE. IMPRESSAO: EM QUATRO CORES + PLASTIFICADO UTILIZADO NO PRODUTO 920.1182-0 CARDBOAD BOX WITH CARD KRAFT DUPLEX DE 250 A 300 GR/M2 WAVE BC COATED PRINTING IN FOUR COLOURS WITH MEASURES O INTERNAL C=122mm X L= 122mm X A=130mm CLOSING UPPER AND UNDER SIMPLE SUITCASE TYPE WITH TRANSPARENT TAPE. USE IN PRODUCT: 920.1182-0, Quantidade: 2"
"204.0509-0-CAIXA DE PAPELAO PARA PISTOLA FRONTAL PULVERIZADORA AIR PLUS SPRAY 300W - ACESS MEDIDAS INTERNAS DE C=148mm X L= 122mm X A=230mm MATERIAL: CARTAO DUPLEX DE 250 A 300GR/M2 E PAPELAO ONDA BC FECHAMENTO: INFERIOR E SUPERIOR TIPO MALETA SIMPLES COM FITA TRANSPARENTE. IMPRESSAO: EM QUATRO CORES + PLASTIFICADO UTILIZADO NO PRODUTO 920.1181-0, Quantidade: 2"
"204.0488-0-CAIXA DE PAPELAO PARA ASPIRADOR DE PO PORTÁTIL ELEKTRO 1400 W COMPACT TENSAO DE 127V E 220V MEDIDAS INTERNAS DE C=480mm X L= 280mm X A=285mm MATERIAL: CARTAO DUPLEX DE 250 A 300GR/M2 E PAPELAO ONDA BC FECHAMENTO: INFERIOR E SUPERIOR TIPO MALETA SIMPLES COM FITA TRANSPARENTE. IMPRESSAO: EM QUATRO CORES + PLASTIFICADO UTILIZADO NOS PRODUTOS 925.0048-0 - 925.0049-0, Quantidade: 2"
"204.0472-0-CAIXA DE PAPELÃO ONDULADO PLÁSTIFICADO DIMENSÕES: 180 MM X 285 MM X 205 MM REFERENCIA: 204.0472-0. FORNECEDOR: NEOWILL HODINGS PTE LTD. REVISADO P/ MARTINELLI EM 26/07/2012 - INCLUIDO NO SISTEMA EM 26/07/2012 CAIXA DE PAPELÃO PLASTIFICADO. IMPRESSÃO: QUATRO CORES MEDIDAS EXTERNAS: C=180 X L=285 X A=205mm UTILIZADO NO PRODUTO: 911.0236-0 - MOTOESMERIL MOTO PLUS COM REBOLO DE 5"" 180W. ***CÓDIGO DE BARRAS DO PRODUTO 789689343551-6*** DESCRIPTION: PLASTICIZED CARDBOARD BOX. PRINTING: FOUR COLOR + PLASTICIZED CARDBOARD EXTERNAL MEASURES: C=180 X L=285 X A=205mm CODE USED IN PRODUCTS: 911.0236-0 - 5 BENCH GRINDER WITH 5 GRINDING WHEELS - 180W ***BAR CODE PRODUCT 789689343551-6***, Quantidade: 2"
"204.0469-0-CINTA DE PAPELÃO P/ LIXADEIRA 7"" 6000RPM C INJ DE AGUA, Quantidade: 2"
"204.0466-0-CINTA DE PAPELÃO P/ POLITRIZ 4"" 3600RPM C INJ DE AGUA, Quantidade: 2"
"204.0441-0-CAIXA DE PAPELÃO CARTÃO DUPLEX DE 250 A 300GR/M2 E PAPELÃO ONDULADO TIPO ""BC"" PLASTIFICADO DIMENSÕES: 1410 MM X 540 MM X 265 MM REFERENCIA: 204.0471-0. FORNECEDOR: WING LEE HARDWARE AND ELECTRICAL EQUIPMENT REVISADO P/ MARTINELLI EM 26/07/2012 - INCLUIDO NO SISTEMA EM 26/07/2012 CAIXA DE PAPELAO PARA FURADEIRA DE COLUNA FSC25P - PRATIKA COM MOTOR MONOFASICO 3/4CV 4P60HZ 127/220V COM MANDRIL. MEDIDAS EXTERNAS DE C=1410mm X L= 540mm X A=265mm MATERIAL: CARTAO DUPLEX DE 250 A 300GR/M2 E PAPELAO ONDA BC FECHAMENTO: INFERIOR E SUPERIOR TIPO MALETA SIMPLES COM FITA TRANSPARENTE. IMPRESSAO: EM QUATRO CORES + PLASTIFICADO, Quantidade: 2"
"204.0440-0-CAIXA DE PAPELÃO CARTÃO DUPLEX DE 250 A 300GR/M2 E PAPELÃO ONDULADO TIPO ""BC"" PLASTIFICADO DIMENSÕES: 1410 MM X 540 MM X 265 MM REFERENCIA: 204.0440-0. FORNECEDOR: WING LEE HARDWARE AND ELECTRICAL EQUIPMENT REVISADO P/ MARTINELLI EM 26/07/2012 - INCLUIDO NO SISTEMA EM 26/07/2012 CAIXA DE PAPELAO PARA FURADEIRA DE COLUNA FSC32P-PRATIKA COM MOTOR MONOFASICO 1CV 4P60HZ 127/220V MEDIDAS EXTERNAS DE C=1450 X L=653mm X A=333mm MATERIAL: CARTAO DUPLEX DE 250 A 300GR/M2 E PAPELAO ONDA BC FECHAMENTO: INFERIOR E SUPERIOR TIPO MALETA SIMPLES COM FITA TRANSPARENTE. IMPRESSAO: EM QUATRO CORES + PLASTIFICADO, Quantidade: 2"
"204.0427-0-CINTA DE PAPEL CARTAO DUPLEX COM IMPRESSAO 4 CORES COM MEDIDAS EXTERNAS DE C=234 X L=157 X112 mm PARA FERRAMENTA SFD 13., Quantidade: 2"
"TABULEIRO PAPELAO O.SIMPLES NR. 24 - 150X150, Quantidade: 2"
"CINTA PAPELAO N. 33 O.D. 706X486X350, Quantidade: 2"
"CINTA PAPELAO N. 30 O.D. 816X636X415, Quantidade: 2"
"CAIXA PAPELAO N. 19 O.D. 486X486X585, Quantidade: 2"
"CAIXA PAPELAO N. 17 O.D. 485X405X235, Quantidade: 2"
"CAIXA PAPELAO N. 16 O.D. 406X406X570, Quantidade: 2"
